"ISO Code"	"Country"	"Region"	"Subject.Descriptor"	"Units"	"Scale"	"X2000"	"X2001"	"X2002"	"X2003"	"X2004"	"X2005"	"X2006"	"X2007"	"X2008"	"X2009"	"X2010"	"X2011"	"X2012"	"X2013"	"X2014"	"X2015"	"X2016"	"X2017"	"X2018"	"X2019"	"X2020"	"X2021"	"GrowthRate"
"1"	"AND"	"Andorra"	"Europe"	"GDP Domestic Currency"	"National currency"	"Billions"	1.551	1.729	1.866	2.092	2.332	2.541	2.755	2.888	2.789	2.645	2.602	2.607	2.482	2.405	2.463	2.515	2.617	2.656	2.725	2.818	2.508	2.681	0.0243203166475296
"2"	"AND"	"Andorra"	"Europe"	"GDP U.S. Dollars"	"U.S. dollars"	"Billions"	1.429	1.547	1.758	2.362	2.896	3.158	3.456	3.952	4.082	3.675	3.446	3.625	3.189	3.193	3.267	2.789	2.895	2.993	3.217	3.155	2.858	3.213	0.0352649238413776
"3"	"AND"	"Andorra"	"Europe"	"GDP p.c. Domestic Currency"	"National currency"	"Units"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	37022.48	37367.71	35578	34367.26	34897.12	35054.23	35795.91	35507.66	35775.5	36346.54	32142.4	33725.83	NA
"4"	"AND"	"Andorra"	"Europe"	"GDP p.c. U.S. Dollars"	"U.S. dollars"	"Units"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	49030.23	51957.31	45713.97	45630.2	46299.28	38877.49	39595.32	40017.74	42229.9	40688.49	36630.55	40417.27	NA
"5"	"AND"	"Andorra"	"Europe"	"Inflation"	"Percent change"	""	NA	NA	3.072	2.764	3.309	3.275	3.02	4.082	0.877	1.009	1.69	2.164	1.054	0.182	-0.869	-0.53	0.943	2.376	0.751	1.009	-0.202	2.3	NA
"6"	"AND"	"Andorra"	"Europe"	"Unemployment"	"Percent of total labor force"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.225	3.975	6.175	6.325	5.8	3.575	3.025	1.725	1.525	1.775	2.85	3.1	NA
"7"	"AND"	"Andorra"	"Europe"	"Population"	"Persons"	"Millions"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.07	0.07	0.07	0.07	0.071	0.072	0.073	0.075	0.076	0.078	0.078	0.079	NA
"8"	"AND"	"Andorra"	"Europe"	"GDP FY U.S. Dollars"	"National currency"	"Billions"	1.551	1.729	1.866	2.092	2.332	2.541	2.755	2.888	2.789	2.645	2.602	2.607	2.482	2.405	2.463	2.515	2.617	2.656	2.725	2.818	2.508	2.681	0.0243203166475296
"9"	"AUS"	"Australia"	"Australiasia"	"GDP Domestic Currency"	"National currency"	"Billions"	685.406	727.786	780.366	827.742	891.602	961	1037.09	1130.38	1234.13	1262.38	1361.45	1466.45	1515.07	1567.93	1614.48	1640.74	1702.13	1806.53	1899.64	2002.13	1968.9	2134.73	0.0541776099761255
"10"	"AUS"	"Australia"	"Australiasia"	"GDP U.S. Dollars"	"U.S. dollars"	"Billions"	399.101	376.714	424.425	539.562	656.735	734.053	781.294	947.89	1055.51	998.925	1251.86	1513.68	1569.31	1518.43	1457.38	1234.84	1266.2	1385.2	1421.19	1392.33	1359.37	1610.56	0.0631945537763168
"11"	"AUS"	"Australia"	"Australiasia"	"GDP p.c. Domestic Currency"	"National currency"	"Units"	35808.2	37540.94	39803.54	41747.9	44477.79	47313	50277.04	53786.19	57466.69	57733.5	61402.91	65111.1	66079.49	67299.6	68293.33	68407.91	69788.97	72922.48	75468.32	78336.24	76627.57	82998.54	0.0387717450281231
"12"	"AUS"	"Australia"	"Australiasia"	"GDP p.c. U.S. Dollars"	"U.S. dollars"	"Units"	20850.53	19431.83	21648.34	27213.27	32761.41	36139.69	37876.24	45102.98	49149.23	45684.73	56459.92	67208.49	68445.12	65174.72	61648.08	51484.64	51915.24	55915	56460.9	54476.91	52905.4	62618.59	0.0476570628822095
"13"	"AUS"	"Australia"	"Australiasia"	"Inflation"	"Percent change"	""	5.789	3.146	3.05	2.445	2.638	2.693	3.337	2.999	3.695	2.052	2.646	2.99	2.102	2.745	1.622	1.69	1.385	2.095	1.695	1.842	0.861	2.55	-0.0908825788663633
"14"	"AUS"	"Australia"	"Australiasia"	"Unemployment"	"Percent of total labor force"	""	6.292	6.775	6.367	5.942	5.392	5.042	4.792	4.375	4.258	5.575	5.208	5.083	5.233	5.658	6.058	6.058	5.717	5.592	5.3	5.158	6.492	5.227	0.00156580782172533
"15"	"AUS"	"Australia"	"Australiasia"	"Population"	"Persons"	"Millions"	19.141	19.386	19.605	19.827	20.046	20.312	20.628	21.016	21.476	21.866	22.172	22.522	22.928	23.298	23.64	23.985	24.39	24.773	25.171	25.558	25.694	25.72	0.0148301347043613
"16"	"AUS"	"Australia"	"Australiasia"	"GDP FY U.S. Dollars"	"National currency"	"Billions"	685.406	727.786	780.366	827.742	891.602	961	1037.09	1130.38	1234.13	1262.38	1361.45	1466.45	1515.07	1567.93	1614.48	1640.74	1702.13	1806.53	1899.64	2002.13	1968.9	2134.73	0.0541776099761255
"17"	"AUT"	"Austria"	"Europe"	"GDP Domestic Currency"	"National currency"	"Billions"	213.606	220.525	226.735	231.863	242.348	254.075	267.824	283.978	293.762	288.044	295.897	310.129	318.653	323.91	333.146	344.269	357.608	369.341	385.362	397.575	378.981	402.907	0.0290825156429144
"18"	"AUT"	"Austria"	"Europe"	"GDP U.S. Dollars"	"U.S. dollars"	"Billions"	197.377	197.51	214.243	262.208	301.321	316.267	336.298	389.231	432.005	401.323	392.595	431.609	409.661	430.197	442.699	382.01	395.728	417.091	455.301	445.125	432.524	481.209	0.0400056132891091
"19"	"AUT"	"Austria"	"Europe"	"GDP p.c. Domestic Currency"	"National currency"	"Units"	26662.25	27420.66	28053.94	28560.67	29665.22	30889.53	32393.09	34234.06	35301.38	34531.52	35389.81	36970.54	37816.44	38209.44	38992.13	39894.38	40917.16	41900.86	43374.17	44879.15	42577.31	45040.12	0.0236796529418957
"20"	"AUT"	"Austria"	"Europe"	"GDP p.c. U.S. Dollars"	"U.S. dollars"	"Units"	24636.47	24558.92	26508.32	32298.61	36883.89	38450.61	40674.88	46922.56	51914.01	48111.66	46955.17	51452.28	48616.9	50747.38	51814.42	44267.81	45278.83	47317.91	51246.15	50246.61	48592.71	53793.37	0.0345455857384402
"21"	"AUT"	"Austria"	"Europe"	"Inflation"	"Percent change"	""	1.839	1.819	1.696	1.349	2.499	1.532	1.629	3.456	1.492	1.052	2.171	3.308	2.81	1.856	0.699	0.975	1.534	2.275	1.688	1.801	1.01	2.9	-0.0295191228981971
"22"	"AUT"	"Austria"	"Europe"	"Unemployment"	"Percent of total labor force"	""	3.883	4.008	4.392	4.792	5.875	6.025	5.6	5.217	4.442	5.683	5.192	4.875	5.25	5.35	6.033	6.167	6.467	5.925	5.208	4.825	5.4	6.4	0.0166262480464512
"23"	"AUT"	"Austria"	"Europe"	"Population"	"Persons"	"Millions"	8.012	8.042	8.082	8.118	8.169	8.225	8.268	8.295	8.322	8.341	8.361	8.389	8.426	8.477	8.544	8.63	8.74	8.815	8.885	8.859	8.901	8.946	0.00527502481741537
"24"	"AUT"	"Austria"	"Europe"	"GDP FY U.S. Dollars"	"National currency"	"Billions"	213.606	220.525	226.735	231.863	242.348	254.075	267.824	283.978	293.762	288.044	295.897	310.129	318.653	323.91	333.146	344.269	357.608	369.341	385.362	397.575	378.981	402.907	0.0290825156429144
"25"	"BEL"	"Belgium"	"Europe"	"GDP Domestic Currency"	"National currency"	"Billions"	256.376	264.335	273.255	281.201	296.82	310.037	325.151	343.619	351.742	346.473	363.14	375.968	386.175	392.88	403.004	416.702	430.085	445.05	460.37	476.343	451.177	487.169	0.0286638533355259
"26"	"BEL"	"Belgium"	"Europe"	"GDP U.S. Dollars"	"U.S. dollars"	"Billions"	236.897	236.748	258.2	318.004	369.047	385.927	408.281	470.978	517.27	482.73	481.814	523.239	496.467	521.799	535.529	462.383	475.931	502.587	543.923	533.313	514.92	581.848	0.0395826193626301
"27"	"BEL"	"Belgium"	"Europe"	"GDP p.c. Domestic Currency"	"National currency"	"Units"	25038.96	25755.08	26504.59	27153.85	28550.21	29680.39	30933.23	32464.25	32975.2	32220.82	33500.29	34176.93	34866.28	35273.92	36044.16	37082.13	38023.21	39205.49	40388.33	41581.97	39156.38	42209.57	0.0226082977692275
